"spkid","full_name","neo","pha","diameter","per","first_obs","last_obs","H"
20000433,"   433 Eros (A898 PA)",Y,N,16.84,643,1893-10-29,2021-05-13,10.40
20000719,"   719 Albert (A911 TB)",Y,N,,1.56e+03,1911-10-04,2026-05-22,15.59
20000887,"   887 Alinda (A918 AA)",Y,N,4.2,1.42e+03,1918-02-09,2025-08-27,13.82
20001036,"  1036 Ganymed (A924 UB)",Y,N,37.675,1.59e+03,1924-10-23,2026-06-30,9.17
20001221,"  1221 Amor (1932 EA1)",Y,N,1.0,972,1932-03-12,2025-02-19,17.37
20001566,"  1566 Icarus (1949 MA)",Y,Y,1.0,409,1949-07-01,2025-08-18,16.53
20001580,"  1580 Betulia (1950 KA)",Y,N,5.8,1.19e+03,1952-10-27,2025-12-25,14.54
20001620,"  1620 Geographos (1951 RA)",Y,Y,2.56,508,1951-09-14,2026-08-27,15.27
20001627,"  1627 Ivar (1929 SH)",Y,N,9.12,929,1929-09-25,2026-08-24,12.79
20001685,"  1685 Toro (1948 OA)",Y,N,3.4,584,1948-07-17,2026-08-27,14.26
20001862,"  1862 Apollo (1932 HA)",Y,Y,1.5,651,1930-12-13,2026-04-15,16.09
20001863,"  1863 Antinous (1948 EA)",Y,N,2.1,1.24e+03,1948-03-05,2026-08-25,15.32
20001864,"  1864 Daedalus (1971 FA)",Y,N,3.7,645,1971-03-24,2026-04-04,14.83
20001865,"  1865 Cerberus (1971 UA)",Y,N,1.2,410,1971-11-10,2026-08-22,16.77
20001866,"  1866 Sisyphus (1972 XA)",Y,N,8.48,952,1955-01-26,2026-08-09,12.47
20001915,"  1915 Quetzalcoatl (1953 EA)",Y,N,0.5,1.48e+03,1953-03-09,2020-10-25,18.38
20001916,"  1916 Boreas (1953 RA)",Y,N,3.5,1.25e+03,1953-09-01,2026-04-06,14.93
20001917,"  1917 Cuyo (1968 AA)",Y,N,5.7,1.15e+03,1954-05-06,2026-06-14,14.38
20001943,"  1943 Anteros (1973 EC)",Y,N,2.3,625,1973-03-10,2026-08-26,15.66
20001980,"  1980 Tezcatlipoca (1950 LA)",Y,N,4.3,816,1950-06-19,2026-08-27,13.80
20001981,"  1981 Midas (1973 EA)",Y,Y,3.4,865,1973-03-06,2026-01-02,15.28
20002059,"  2059 Baboquivari (1963 UA)",Y,N,,1.57e+03,1963-11-09,2026-05-12,15.98
20002061,"  2061 Anza (1960 UA)",Y,N,2.6,1.25e+03,1960-10-22,2026-03-22,16.70
20002062,"  2062 Aten (1976 AA)",Y,N,1.1,347,1955-12-17,2019-11-10,17.11
20002063,"  2063 Bacchus (1977 HB)",Y,N,1.024,409,1977-04-24,2025-06-15,17.21
20002100,"  2100 Ra-Shalom (1978 RA)",Y,N,2.3,277,1975-10-03,2026-08-24,16.24
20002101,"  2101 Adonis (1936 CA)",Y,Y,0.6,937,1936-02-21,2025-07-19,18.69
20002102,"  2102 Tantalus (1975 YA)",Y,Y,1.649,535,1976-01-02,2026-08-08,15.99
20002135,"  2135 Aristaeus (1977 HA)",Y,Y,,739,1977-04-17,2020-05-30,18.05
20002201,"  2201 Oljato (1947 XC)",Y,Y,1.80,1.17e+03,1931-12-03,2025-10-05,15.32
20002202,"  2202 Pele (1972 RA)",Y,N,,1.27e+03,1972-09-07,2025-03-23,16.99
20002212,"  2212 Hephaistos (1978 SB)",Y,N,5.7,1.17e+03,1978-09-27,2026-08-27,13.45
20002329,"  2329 Orthos (1976 WA)",Y,N,,1.37e+03,1976-05-31,2026-03-04,14.57
20002340,"  2340 Hathor (1976 UA)",Y,Y,0.3,283,1976-10-25,2021-12-05,20.41
20002368,"  2368 Beltrovata (1977 RA)",Y,N,2.3,1.12e+03,1977-09-04,2026-08-27,15.18
20002608,"  2608 Seneca (1978 DA)",Y,N,0.9,1.47e+03,1978-02-17,2022-09-18,17.48
20003102,"  3102 Krok (1981 QA)",Y,N,1.6,1.15e+03,1981-08-21,2025-12-10,16.16
20003103,"  3103 Eger (1982 BB)",Y,N,1.5,608,1982-01-21,2026-08-24,15.30
20003122,"  3122 Florence (1981 ET3)",Y,Y,4.9,859,1979-03-09,2026-08-18,14.08
20003199,"  3199 Nefertiti (1982 RA)",Y,N,2.2,722,1982-09-13,2025-07-25,14.99
20003200,"  3200 Phaethon (1983 TB)",Y,Y,6.25,524,1983-10-27,2026-03-03,14.38
20003271,"  3271 Ul (1982 RB)",Y,N,,1.11e+03,1982-09-14,2026-02-09,16.55
20003288,"  3288 Seleucus (1982 DV)",Y,N,2.8,1.06e+03,1982-02-28,2026-08-20,15.34
20003352,"  3352 McAuliffe (1981 CW)",Y,N,,941,1981-02-06,2026-08-23,15.93
20003360,"  3360 Syrinx (1981 VA)",Y,N,1.8,1.41e+03,1981-11-04,2026-01-09,16.03
20003361,"  3361 Orpheus (1982 HR)",Y,Y,0.3,486,1982-04-24,2026-06-22,19.50
20003362,"  3362 Khufu (1984 QA)",Y,Y,0.7,360,1984-08-30,2004-11-27,18.52
20003551,"  3551 Verenia (1983 RD)",Y,N,0.9,1.11e+03,1983-09-07,2025-06-26,16.72
20003552,"  3552 Don Quixote (1983 SA)",Y,N,19.0,3.22e+03,1983-09-10,2026-06-25,13.02
20003553,"  3553 Mera (1985 JA)",Y,N,,770,1985-05-11,2025-07-26,16.41
20003554,"  3554 Amun (1986 EB)",Y,N,3.341,351,1986-03-04,2019-02-23,15.91
20003671,"  3671 Dionysus (1984 KD)",Y,Y,1.5,1.19e+03,1984-05-27,2026-06-21,16.50
20003691,"  3691 Bede (1982 FT)",Y,N,4.3,863,1975-06-09,2026-02-01,14.93
20003752,"  3752 Camillo (1985 PA)",Y,N,2.306,614,1976-01-28,2025-10-02,15.14
20003753,"  3753 Cruithne (1986 TO)",Y,N,2.071,364,1973-10-17,2026-08-24,15.42
20003757,"  3757 Anagolay (1982 XB)",Y,Y,0.5,908,1982-12-14,2024-08-03,19.01
20003838,"  3838 Epona (1986 WA)",Y,N,,674,1986-11-30,2026-02-27,15.67
20003908,"  3908 Nyx (1980 PA)",Y,N,1.0,978,1980-08-06,2025-06-26,17.45
20003988,"  3988 Huma (1986 LA)",Y,N,0.7,701,1986-06-04,2026-04-18,17.95
20004015,"  4015 Wilson-Harrington (1979 VA)",Y,Y,4,1.55e+03,1949-11-19,2025-03-29,16.16
20004034,"  4034 Vishnu (1986 PA)",Y,Y,0.42,398,1986-08-02,2026-06-27,18.50
20004055,"  4055 Magellan (1985 DO2)",Y,N,2.49,897,1985-01-21,2026-04-09,14.90
20004179,"  4179 Toutatis (1989 AC)",Y,Y,5.4,1.48e+03,1934-02-10,2026-05-16,15.29
20004183,"  4183 Cuno (1959 LM)",Y,Y,3.651,1.02e+03,1959-06-05,2026-08-06,14.18
20004197,"  4197 Morpheus (1982 TA)",Y,N,1.8,1.27e+03,1954-09-03,2026-08-11,14.97
20004257,"  4257 Ubasti (1987 QA)",Y,N,,772,1987-08-23,2026-07-29,15.97
20004341,"  4341 Poseidon (1987 KF)",Y,N,3.177,907,1987-05-29,2026-08-24,16.07
20004401,"  4401 Aditi (1985 TB)",Y,N,1.801,1.52e+03,1985-10-14,2023-02-02,16.12
20004450,"  4450 Pan (1987 SY)",Y,Y,,633,1937-02-06,2025-12-20,17.27
20004486,"  4486 Mithra (1987 SB)",Y,Y,1.849,1.2e+03,1987-01-29,2026-04-05,15.62
20004487,"  4487 Pocahontas (1987 UA)",Y,N,,831,1987-09-24,2025-05-19,17.48
20004503,"  4503 Cleobulus (1989 WM)",Y,N,,1.62e+03,1980-12-30,2026-07-16,15.82
20004544,"  4544 Xanthus (1989 FB)",Y,N,1.3,389,1989-03-30,2026-05-03,17.39
20004581,"  4581 Asclepius (1989 FC)",Y,Y,,377,1989-03-31,2021-04-18,20.74
20004596,"  4596 (1981 QB)",Y,N,,1.22e+03,1981-08-28,2026-04-15,16.47
20004660,"  4660 Nereus (1982 DB)",Y,Y,0.33,661,1981-09-30,2026-06-22,18.75
20004688,"  4688 (1980 WF)",Y,N,0.6,1.22e+03,1980-11-29,2021-04-07,19.60
20004769,"  4769 Castalia (1989 PB)",Y,Y,1.4,400,1989-08-01,2026-07-06,17.38
20004947,"  4947 Ninkasi (1988 TJ1)",Y,N,,586,1978-02-17,2026-05-15,18.07
20004953,"  4953 (1990 MU)",Y,Y,,754,1974-07-21,2026-08-22,14.88
20004954,"  4954 Eric (1990 SQ)",Y,N,10.8,1.03e+03,1975-06-07,2026-08-15,12.54
20004957,"  4957 Brucemurray (1990 XJ)",Y,N,3.499,715,1976-03-11,2026-03-20,15.05
20005011,"  5011 Ptah (6743 P-L)",Y,Y,,764,1960-09-24,2026-06-13,16.64
20005131,"  5131 (1990 BG)",Y,N,,662,1990-01-24,2026-04-04,14.82
20005143,"  5143 Heracles (1991 VL)",Y,N,4.843,908,1953-11-30,2026-08-27,14.04
20005189,"  5189 (1990 UQ)",Y,Y,,706,1990-10-20,2026-01-14,17.85
20005324,"  5324 Lyapunov (1987 SL)",Y,N,,1.88e+03,1987-09-19,2025-02-22,15.35
20005332,"  5332 Davidaguilar (1990 DA)",Y,N,3.6,1.16e+03,1973-10-18,2026-08-05,14.96
20005370,"  5370 Taranis (1986 RA)",Y,N,3.6,2.21e+03,1986-08-11,2026-02-19,15.23
20005381,"  5381 Sekhmet (1991 JY)",Y,N,0.935,337,1991-05-14,2026-08-13,16.75
20005496,"  5496 (1973 NA)",Y,N,,1.39e+03,1973-07-06,2026-08-23,16.18
20005587,"  5587 (1990 SB)",Y,N,3.57,1.36e+03,1953-12-07,2026-01-25,13.89
20005590,"  5590 (1990 VA)",Y,N,,358,1990-11-09,1996-12-05,19.91
20005604,"  5604 (1992 FE)",Y,Y,0.55,328,1985-04-17,2026-08-02,17.32
20005620,"  5620 Jasonwheeler (1990 OA)",Y,N,,1.16e+03,1955-05-16,2025-12-13,17.11
20005626,"  5626 Melissabrucker (1991 FE)",Y,N,,1.19e+03,1970-09-08,2025-11-12,14.33
20005645,"  5645 (1990 SP)",Y,N,1.668,576,1974-08-13,2026-07-16,17.23
20005646,"  5646 (1990 TR)",Y,N,4.3,1.15e+03,1990-05-03,2026-04-15,15.51
20005653,"  5653 Camarillo (1992 WD5)",Y,N,1.537,878,1974-03-24,2025-11-08,16.22
20005660,"  5660 (1974 MA)",Y,N,,872,1974-06-26,2026-07-07,15.38
20005693,"  5693 (1993 EA)",Y,Y,,523,1984-01-10,2026-05-13,16.78
20005731,"  5731 Zeus (1988 VP4)",Y,N,5.231,1.25e+03,1988-09-13,2025-10-23,15.47
20005751,"  5751 Zao (1992 AC)",Y,N,2.3,1.11e+03,1989-03-10,2026-07-19,14.94
20005786,"  5786 Talos (1991 RC)",Y,N,,411,1991-09-03,2026-08-22,17.14
20005797,"  5797 Bivoj (1980 AA)",Y,N,0.4,952,1980-01-16,2023-09-17,18.89
20005828,"  5828 (1991 AM)",Y,N,1.457,808,1991-01-14,2026-05-25,15.98
20005836,"  5836 (1993 MF)",Y,N,2.754,1.39e+03,1981-04-26,2026-03-08,14.99
20005863,"  5863 Tara (1983 RB)",Y,N,1.345,1.21e+03,1983-08-12,2026-08-25,15.81
20005869,"  5869 Tanith (1988 VN4)",Y,N,,891,1977-02-16,2026-06-22,17.22
20005879,"  5879 Almeria (1992 CH1)",Y,N,,756,1992-02-08,2025-06-29,17.61
20006037,"  6037 (1988 EG)",Y,Y,,524,1988-03-12,2026-07-06,18.86
20006047,"  6047 (1991 TB1)",Y,N,,641,1985-03-20,2026-08-19,17.84
20006050,"  6050 Miwablock (1992 AE)",Y,N,2.884,1.19e+03,1953-02-15,2026-06-09,14.94
20006053,"  6053 (1993 BW3)",Y,N,3.720,1.15e+03,1976-06-04,2026-07-13,15.10
20006063,"  6063 Jason (1984 KB)",Y,N,1.4,1.21e+03,1960-10-22,2025-08-25,16.02
20006178,"  6178 (1986 DA)",Y,N,2.3,1.72e+03,1977-07-17,2025-11-22,15.71
20006239,"  6239 Minos (1989 QF)",Y,Y,,451,1983-01-09,2026-01-10,18.59
20006455,"  6455 (1992 HE)",Y,N,4.626,1.22e+03,1989-09-29,2025-07-02,14.08
20006456,"  6456 Golombek (1992 OM)",Y,N,,1.19e+03,1979-08-22,2026-01-22,16.07
20006489,"  6489 Golevka (1991 JX)",Y,Y,0.53,1.42e+03,1991-04-15,2015-11-03,19.22
20006491,"  6491 (1991 OA)",Y,Y,,1.45e+03,1991-03-18,2023-10-14,18.72
20006569,"  6569 Ondaatje (1993 MO)",Y,N,,757,1983-12-29,2026-08-05,16.63
20006611,"  6611 (1993 VW)",Y,N,1.408,807,1982-11-15,2026-07-27,16.82
20007025,"  7025 (1993 QA)",Y,N,0.498,655,1993-08-16,2023-07-09,18.08
20007088,"  7088 Ishtar (1992 AA)",Y,N,1.298,1.02e+03,1981-03-03,2026-06-20,16.83
20007092,"  7092 Cadmus (1992 LC)",Y,N,6.319,1.48e+03,1980-06-02,2025-07-28,15.12
20007236,"  7236 (1987 PA)",Y,N,,1.63e+03,1987-08-01,2023-11-09,18.32
20007335,"  7335 (1989 JA)",Y,Y,1.8,862,1989-04-06,2026-01-26,17.70
20007336,"  7336 Saunders (1989 RS1)",Y,N,,1.28e+03,1982-10-20,2025-01-17,18.80
20007341,"  7341 (1991 VK)",Y,Y,0.982,913,1991-09-12,2026-08-26,16.96
20007350,"  7350 (1993 VA)",Y,N,1.921,577,1963-10-15,2026-08-21,17.16
20007358,"  7358 Oze (1995 YA3)",Y,N,,1.19e+03,1959-12-02,2026-04-18,14.73
20007474,"  7474 (1992 TC)",Y,N,,716,1990-08-19,2025-06-28,18.11
20007480,"  7480 Norwan (1994 PC)",Y,N,,717,1982-05-01,2025-06-28,17.24
20007482,"  7482 (1994 PC1)",Y,Y,1.052,572,1974-09-22,2025-08-20,16.58
20007753,"  7753 (1988 XB)",Y,Y,,649,1988-12-05,2025-04-24,18.01
20007822,"  7822 (1991 CS)",Y,Y,1.602,435,1991-01-19,2023-06-25,17.34
20007839,"  7839 (1994 ND)",Y,N,0.784,1.16e+03,1994-07-03,2023-12-10,17.83
20007888,"  7888 (1993 UC)",Y,N,2.298,1.39e+03,1989-10-28,2026-07-16,15.19
20007889,"  7889 (1994 LX)",Y,N,1.680,517,1977-08-10,2026-08-07,15.24
20007977,"  7977 (1977 QQ5)",Y,N,,1.21e+03,1955-03-23,2026-06-29,15.15
20008013,"  8013 Gordonmoore (1990 KA)",Y,N,2.3,1.19e+03,1951-09-01,2026-08-22,17.07
20008014,"  8014 (1990 MF)",Y,Y,0.7,844,1990-06-14,2026-01-21,18.88
20008034,"  8034 Akka (1992 LR)",Y,N,,904,1992-05-21,2026-02-19,18.02
20008035,"  8035 (1992 TB)",Y,N,,568,1992-10-02,2026-08-26,17.09
20008037,"  8037 (1993 HO1)",Y,N,,1.02e+03,1979-03-08,2025-09-29,16.62
20008176,"  8176 (1991 WA)",Y,N,,722,1991-12-01,2026-01-26,16.99
20008201,"  8201 (1994 AH2)",Y,N,1.859,1.48e+03,1981-12-16,2026-02-20,15.92
20008507,"  8507 (1991 CB1)",Y,N,,800,1991-02-15,2026-03-23,17.22
20008566,"  8566 (1996 EN)",Y,Y,1.568,675,1983-04-06,2025-02-06,16.47
20008567,"  8567 (1996 HW1)",Y,N,2.928,1.07e+03,1955-05-23,2025-06-23,15.36
20008709,"  8709 Kadlu (1994 JF1)",Y,N,,1.46e+03,1990-09-23,2026-06-01,17.10
20009058,"  9058 (1992 JB)",Y,N,,710,1992-01-09,2025-08-16,17.82
20009162,"  9162 Kwiila (1987 OA)",Y,N,1.127,669,1987-07-18,2025-06-30,18.01
20009172,"  9172 Abhramu (1989 OB)",Y,N,,1.63e+03,1989-07-07,2026-02-07,16.64
20009202,"  9202 (1993 PB)",Y,N,1.617,621,1993-08-13,2026-08-04,16.10
20009400,"  9400 (1994 TW1)",Y,N,3.698,1.52e+03,1991-03-18,2025-03-29,14.84
20009856,"  9856 (1991 EE)",Y,Y,1.0,1.23e+03,1991-03-13,2026-02-04,17.08
20009950,"  9950 ESA (1990 VB)",Y,N,,1.39e+03,1990-11-08,2026-04-05,16.20
20010115," 10115 (1992 SK)",Y,Y,0.938,510,1953-10-12,2025-01-18,17.14
20010145," 10145 (1994 CK1)",Y,N,,956,1994-02-10,2026-04-08,17.00
20010150," 10150 (1994 PN)",Y,N,,1.34e+03,1994-08-07,2026-02-05,15.45
20010165," 10165 (1995 BL2)",Y,N,0.829,501,1991-02-22,2026-02-05,17.36
20010302," 10302 (1989 ML)",Y,N,,524,1989-06-06,2026-02-05,19.48
20010563," 10563 Izhdubar (1993 WD)",Y,N,,369,1991-11-13,2022-06-30,16.94
20010636," 10636 (1998 QK56)",Y,N,0.533,945,1955-05-16,2026-08-08,17.70
20010860," 10860 (1995 LE)",Y,N,,1.51e+03,1995-06-03,2025-01-03,17.02
20011054," 11054 (1991 FA)",Y,N,,1.02e+03,1937-11-28,2026-08-26,17.07
20011066," 11066 Sigurd (1992 CC1)",Y,N,2.104,600,1976-04-01,2025-07-26,15.17
20011284," 11284 Belenus (1990 BA)",Y,N,,838,1950-12-09,2025-08-11,18.25
20011311," 11311 Peleus (1993 XN2)",Y,N,,1.12e+03,1993-12-10,2026-05-17,15.74
20011398," 11398 (1998 YP11)",Y,N,1.316,825,1983-01-05,2026-08-22,16.36
20011405," 11405 (1999 CV3)",Y,N,3.621,644,1978-10-25,2025-03-25,15.22
20011500," 11500 Tomaiyowit (1989 UR)",Y,Y,0.738,410,1989-10-25,2026-08-28,18.38
20011885," 11885 Summanus (1990 SS)",Y,N,1.298,812,1990-09-25,2023-09-04,18.52
20012538," 12538 (1998 OH)",Y,Y,1.663,699,1987-08-22,2025-12-01,15.96
20012711," 12711 Tukmit (1991 BB)",Y,N,,472,1991-01-12,2026-08-24,16.02
20012923," 12923 Zephyr (1999 GK4)",Y,Y,2.060,1e+03,1955-04-21,2026-04-18,15.80
20013553," 13553 Masaakikoyama (1992 JE)",Y,N,,1.18e+03,1979-06-24,2026-01-14,16.54
20013651," 13651 (1997 BR)",Y,Y,0.562,564,1980-02-09,2026-02-27,17.86
20014402," 14402 (1991 DB)",Y,N,0.6,820,1991-02-13,2025-11-17,18.77
20014827," 14827 Hypnos (1986 JK)",Y,Y,0.9,1.77e+03,1986-05-04,2024-12-22,18.81
20015745," 15745 Yuliya (1991 PM5)",Y,N,,824,1982-07-27,2025-12-17,17.40
20015817," 15817 Lucianotesi (1994 QC)",Y,N,,557,1994-08-29,2026-08-25,18.47
20016064," 16064 Davidharvey (1999 RH27)",Y,N,4.106,1.76e+03,1994-09-01,2024-01-13,16.86
20016636," 16636 (1993 QP)",Y,N,,1.28e+03,1993-08-23,2025-12-27,18.78
20016657," 16657 (1993 UB)",Y,N,,1.25e+03,1993-10-23,2026-05-12,16.55
20016816," 16816 (1997 UF9)",Y,N,,633,1997-10-29,2025-12-20,16.24
20016834," 16834 (1997 WU22)",Y,N,1.87,650,1988-10-08,2026-02-01,15.75
20016912," 16912 Rhiannon (1998 EP8)",Y,N,,846,1992-08-29,2026-04-11,17.90
20016960," 16960 (1998 QS52)",Y,Y,,1.19e+03,1983-06-14,2026-08-20,14.32
20017181," 17181 (1999 UM3)",Y,N,,1.33e+03,1955-10-24,2026-07-20,16.77
20017182," 17182 (1999 VU)",Y,N,2.885,597,1977-07-18,2026-08-18,17.13
20017188," 17188 (1999 WC2)",Y,N,1.819,1.21e+03,1990-07-27,2026-08-02,16.42
20017274," 17274 (2000 LC16)",Y,N,3.183,1.65e+03,1955-10-23,2026-02-23,16.86
20017511," 17511 (1992 QN)",Y,N,,474,1992-08-29,2026-08-11,17.32
20018106," 18106 Blume (2000 NX3)",Y,N,,1.39e+03,1977-09-04,2024-01-04,17.78
20018109," 18109 (2000 NG11)",Y,N,,942,1951-11-08,2025-05-15,17.19
20018172," 18172 (2000 QL7)",Y,N,,1.38e+03,1977-07-21,2026-08-07,15.69
20018736," 18736 (1998 NU)",Y,N,,1.32e+03,1954-05-25,2026-05-23,15.98
20018882," 18882 (1999 YN4)",Y,N,,799,1954-01-04,2026-02-05,16.14
20019356," 19356 (1997 GH3)",Y,N,0.91,1.45e+03,1992-11-02,2025-07-14,17.00
20019764," 19764 (2000 NF5)",Y,N,1.572,1.22e+03,1990-08-28,2026-03-22,16.11
20020086," 20086 (1994 LW)",Y,N,,2.06e+03,1994-06-03,2023-12-17,16.68
20020236," 20236 (1998 BZ7)",Y,Y,,1.06e+03,1998-01-24,2025-11-20,17.72
20020255," 20255 (1998 FX2)",Y,N,,1.15e+03,1998-03-20,2022-12-23,18.45
20020425," 20425 (1998 VD35)",Y,Y,,715,1998-11-15,2015-08-20,20.51
20020429," 20429 (1998 YN1)",Y,N,,709,1998-12-16,2026-01-15,17.76
20020460," 20460 Robwhiteley (1999 LO28)",Y,N,2.716,939,1954-12-30,2026-01-15,15.41
20020790," 20790 (2000 SE45)",Y,N,,1.67e+03,1992-03-09,2024-05-07,16.64
20020826," 20826 (2000 UV13)",Y,N,3.687,1.37e+03,1953-10-01,2026-06-26,13.85
20021088," 21088 Chelyabinsk (1992 BL2)",Y,N,2.793,814,1990-01-30,2026-08-27,14.33
20021277," 21277 (1996 TO5)",Y,N,,1.34e+03,1990-02-04,2024-06-13,16.18
20021374," 21374 (1997 WS22)",Y,N,,522,1974-09-22,2025-02-22,17.45
20022099," 22099 (2000 EX106)",Y,N,0.524,424,1994-01-30,2024-03-29,18.09
20022753," 22753 (1998 WT)",Y,Y,,492,1955-10-24,2026-02-05,17.68
20022771," 22771 (1999 CU3)",Y,N,,723,1999-02-10,2026-01-22,16.96
20023183," 23183 (2000 OY21)",Y,N,1.098,900,1994-06-03,2026-08-03,16.06
20023187," 23187 (2000 PN9)",Y,Y,,917,1990-08-02,2026-06-10,16.04
20023548," 23548 (1994 EF2)",Y,N,,1.27e+03,1994-03-11,2024-11-15,17.28
20023606," 23606 (1996 AS1)",Y,N,0.866,846,1985-07-18,2026-02-13,18.38
20023714," 23714 (1998 EC3)",Y,N,,1.13e+03,1998-03-01,2026-08-18,16.87
20024443," 24443 (2000 OG)",Y,N,,1.28e+03,1993-06-24,2024-06-16,16.42
20024445," 24445 (2000 PM8)",Y,N,,1.2e+03,1991-04-10,2026-08-28,14.71
20024475," 24475 (2000 VN2)",Y,N,,1.01e+03,2000-11-01,2026-06-29,16.43
20024761," 24761 Ahau (1993 BW2)",Y,N,,563,1993-01-28,2026-08-26,17.37
20025143," 25143 Itokawa (1998 SF36)",Y,Y,0.33,556,1998-09-19,2024-12-19,19.26
20025330," 25330 (1999 KV4)",Y,N,3.21,698,1979-11-16,2026-07-16,16.74
20025916," 25916 (2001 CP44)",Y,N,5.683,1.49e+03,1998-11-13,2026-08-23,13.75
20026166," 26166 (1995 QN3)",Y,N,,2.19e+03,1953-08-19,2025-11-17,16.79
20026310," 26310 (1998 TX6)",Y,N,,1.14e+03,1951-07-08,2026-06-29,19.28
20026379," 26379 (1999 HZ1)",Y,N,,744,1992-08-27,2015-09-03,18.20
20026663," 26663 (2000 XK47)",Y,Y,,702,1974-07-12,2026-08-15,18.12
20026760," 26760 (2001 KP41)",Y,N,5.400,1.76e+03,1996-03-25,2025-12-15,15.50
20026817," 26817 (1987 QB)",Y,N,1.172,1.72e+03,1987-05-31,2020-11-19,19.49
20027002," 27002 (1998 DV9)",Y,Y,,841,1998-02-23,2026-06-21,18.31
20027031," 27031 (1998 RO4)",Y,N,,1.14e+03,1951-08-26,2026-07-07,17.89
20027346," 27346 (2000 DN8)",Y,N,1.802,938,1978-08-24,2026-06-23,15.88
20029075," 29075 (1950 DA)",Y,Y,1.3,808,1950-02-23,2025-04-28,17.28
20030825," 30825 (1990 TG1)",Y,N,,1.39e+03,1990-09-16,2026-01-09,14.73
20030997," 30997 (1995 UO5)",Y,N,,712,1995-10-26,2024-12-20,17.27
20031210," 31210 (1998 BX7)",Y,N,,1.54e+03,1955-11-23,2026-08-15,16.40
20031221," 31221 (1998 BP26)",Y,N,,826,1998-01-28,2026-07-29,17.23
20031345," 31345 (1998 PG)",Y,N,,1.04e+03,1978-10-07,2026-05-14,17.61
20031346," 31346 (1998 PB1)",Y,N,,1.06e+03,1998-07-14,2026-01-08,17.16
20031662," 31662 (1999 HP11)",Y,N,,738,1999-03-20,2023-03-19,19.54
20031669," 31669 (1999 JT6)",Y,Y,,1.14e+03,1996-06-12,2026-08-26,16.19
20032906," 32906 (1994 RH)",Y,N,,1.23e+03,1984-09-21,2026-04-21,16.04
20033342," 33342 (1998 WT24)",Y,Y,0.432,223,1998-11-24,2025-02-06,18.02
20034613," 34613 (2000 UR13)",Y,N,,1.09e+03,1934-03-16,2026-07-06,16.09
20035107," 35107 (1991 VH)",Y,Y,0.929,443,1991-11-09,2026-07-21,16.86
20035396," 35396 (1997 XF11)",Y,Y,0.704,633,1990-03-22,2026-03-17,17.01
20035432," 35432 (1998 BG9)",Y,N,,1.44e+03,1998-01-24,2026-04-19,19.39
20035670," 35670 (1998 SU27)",Y,N,,1.13e+03,1998-09-24,2025-06-22,19.57
20036017," 36017 (1999 ND43)",Y,N,,687,1999-07-14,2025-05-29,19.29
20036183," 36183 (1999 TX16)",Y,N,2.339,706,1997-11-26,2026-08-19,16.30
20036236," 36236 (1999 VV)",Y,N,,562,1979-11-26,2026-01-31,15.95
20036284," 36284 (2000 DM8)",Y,N,,660,1999-12-30,2025-03-27,15.04
20037336," 37336 (2001 RM)",Y,N,,1.24e+03,1977-07-13,2026-03-09,15.78
20037638," 37638 (1993 VB)",Y,Y,,966,1993-11-06,2023-05-21,19.28
20037655," 37655 Illapa (1994 PM)",Y,Y,,656,1994-08-01,2024-06-27,17.85
20038071," 38071 (1999 GU3)",Y,Y,,1.1e+03,1999-04-11,2023-01-25,19.57
20038086," 38086 Beowulf (1999 JB)",Y,N,0.643,618,1992-05-01,2026-07-29,17.36
20038239," 38239 (1999 OR3)",Y,N,,1.06e+03,1999-07-27,2025-02-19,18.33
20039557," 39557 Gielgud (1992 JG)",Y,N,,1.24e+03,1992-05-02,2026-07-07,17.01
20039565," 39565 (1992 SL)",Y,N,,768,1950-12-09,2025-03-30,18.46
20039572," 39572 (1993 DQ1)",Y,Y,1.554,1.06e+03,1993-02-26,2025-03-28,16.56
20039796," 39796 (1997 TD)",Y,N,2.131,1.23e+03,1987-05-10,2026-03-22,15.69
20040263," 40263 (1999 FQ5)",Y,N,0.954,668,1988-02-23,2025-11-21,17.75
20040267," 40267 (1999 GJ4)",Y,N,1.641,566,1955-03-25,2026-05-14,15.54
20040329," 40329 (1999 ML)",Y,N,,1.25e+03,1999-06-20,2026-06-21,17.70
20041429," 41429 (2000 GE2)",Y,Y,0.204,734,1998-03-25,2026-02-23,20.66
20041440," 41440 (2000 HZ23)",Y,N,,722,1998-04-26,2024-11-01,19.88
20042286," 42286 (2001 TN41)",Y,N,,618,1975-09-09,2024-10-02,16.70
20048603," 48603 (1995 BC2)",Y,N,0.844,970,1986-09-10,2026-07-29,17.82
20052340," 52340 (1992 SY)",Y,N,,1.2e+03,1980-03-19,2026-05-21,17.98
20052381," 52381 (1993 HA)",Y,N,,528,1993-04-17,2025-09-19,20.05
20052387," 52387 Huitzilopochtli (1993 OM7)",Y,N,0.890,530,1993-07-20,2026-03-19,17.75
20052689," 52689 (1998 FF2)",Y,N,,713,1998-02-25,2025-01-20,19.13
20052750," 52750 (1998 KK17)",Y,N,1.059,623,1992-08-29,2026-08-22,16.67
20052760," 52760 (1998 ML14)",Y,Y,1.0,1.36e+03,1998-06-24,2025-03-22,17.52
20052761," 52761 (1998 MN14)",Y,N,,708,1998-06-25,2025-03-28,17.96
20052762," 52762 (1998 MT24)",Y,N,6.742,1.37e+03,1953-10-02,2025-11-29,14.82
